,filename,mAP
256,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_17_59_10_000.jpg,1.0
257,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_00_07_000.jpg,1.0
258,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_11_09_000.jpg,1.0
259,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_15_39_000.jpg,1.0
260,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_29_35_000.jpg,1.0
261,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_46_02_000.jpg,1.0
262,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_47_09_000.jpg,0.5
263,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_18_47_49_000.jpg,0.0
264,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_14_25_000.jpg,1.0
265,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_17_44_000.jpg,1.0
266,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_21_44_000.jpg,1.0
267,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_22_16_000.jpg,1.0
268,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_23_24_000.jpg,1.0
269,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_27_58_000.jpg,0.0
270,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_32_15_000.jpg,0.0
271,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_34_52_000.jpg,1.0
272,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_19_34_54_000.jpg,1.0
